,Metric,Value,"[theta,neighbour]"
3,RNSB,0.01200882190706688,"[0.05, 200]"
4,RND,0.023993578336719956,"[0.05, 200]"
5,RIPA,0.013091322965919971,"[0.05, 200]"
0,WEAT,0.08810253522602135,"[0.1, 200]"
1,WEATES,0.4264731525582427,"[0.1, 200]"
2,ECT,0.6362320074943203,"[0.1, 200]"
3,RNSB,0.012702093644801887,"[0.1, 200]"
4,RND,0.01957632793626797,"[0.1, 200]"
5,RIPA,0.017275692895054817,"[0.1, 200]"
0,WEAT,0.06826250248713668,"[0.02, 50]"
1,WEATES,0.4745338464722312,"[0.02, 50]"
2,ECT,0.8472274654218915,"[0.02, 50]"
