,Metric,Value,"[theta,neighbour]"
3,RNSB,0.024430797824349062,"[0.02, 100]"
4,RND,0.013241211717085158,"[0.02, 100]"
5,RIPA,0.009647750295698643,"[0.02, 100]"
0,WEAT,0.08153630234670761,"[0.05, 100]"
1,WEATES,0.3920879109573311,"[0.05, 100]"
2,ECT,0.6930124049827419,"[0.05, 100]"
3,RNSB,0.02781119593972325,"[0.05, 100]"
4,RND,0.01584003347218377,"[0.05, 100]"
5,RIPA,0.0113728828728199,"[0.05, 100]"
0,WEAT,0.06102577656105819,"[0.1, 100]"
1,WEATES,0.30432404472717406,"[0.1, 100]"
